Dagsetning,Konnun,Flokkur,Prosent,Aths
31-Aug-04,Capacent (fylgi flokka allir),Aðrir flokkar,0,
31-Aug-04,Capacent (fylgi flokka allir),Björt framtíð,0,
31-Aug-04,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
31-Aug-04,Capacent (fylgi flokka allir),Dögun,,
31-Aug-04,Capacent (fylgi flokka allir),Framsóknarflokkur,"14,5",
31-Aug-04,Capacent (fylgi flokka allir),Frjálslyndir,"4,4",
31-Aug-04,Capacent (fylgi flokka allir),Hægri grænir,,
31-Aug-04,Capacent (fylgi flokka allir),Hreyfingin,0,
31-Aug-04,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
31-Aug-04,Capacent (fylgi flokka allir),Píratar,,
31-Aug-04,Capacent (fylgi flokka allir),Samfylkingin,"31,9",
31-Aug-04,Capacent (fylgi flokka allir),Samstaða,0,
31-Aug-04,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,"33,2",
31-Aug-04,Capacent (fylgi flokka allir),Vinstri grænir,16,
30-Sep-04,Capacent (fylgi flokka allir),Aðrir flokkar,"0,1",
30-Sep-04,Capacent (fylgi flokka allir),Björt framtíð,0,
30-Sep-04,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
30-Sep-04,Capacent (fylgi flokka allir),Dögun,,
30-Sep-04,Capacent (fylgi flokka allir),Framsóknarflokkur,"13,1",
30-Sep-04,Capacent (fylgi flokka allir),Frjálslyndir,"4,1",
30-Sep-04,Capacent (fylgi flokka allir),Hægri grænir,,
30-Sep-04,Capacent (fylgi flokka allir),Hreyfingin,0,
30-Sep-04,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
30-Sep-04,Capacent (fylgi flokka allir),Píratar,,
30-Sep-04,Capacent (fylgi flokka allir),Samfylkingin,"30,2",
30-Sep-04,Capacent (fylgi flokka allir),Samstaða,0,
30-Sep-04,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,"35,5",
30-Sep-04,Capacent (fylgi flokka allir),Vinstri grænir,"17,1",
31-Oct-04,Capacent (fylgi flokka allir),Aðrir flokkar,"0,1",
31-Oct-04,Capacent (fylgi flokka allir),Björt framtíð,0,
31-Oct-04,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
31-Oct-04,Capacent (fylgi flokka allir),Dögun,,
31-Oct-04,Capacent (fylgi flokka allir),Framsóknarflokkur,"12,4",
31-Oct-04,Capacent (fylgi flokka allir),Frjálslyndir,"4,1",
31-Oct-04,Capacent (fylgi flokka allir),Hægri grænir,,
31-Oct-04,Capacent (fylgi flokka allir),Hreyfingin,0,
31-Oct-04,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
31-Oct-04,Capacent (fylgi flokka allir),Píratar,,
31-Oct-04,Capacent (fylgi flokka allir),Samfylkingin,"31,6",
31-Oct-04,Capacent (fylgi flokka allir),Samstaða,0,
31-Oct-04,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,"34,2",
31-Oct-04,Capacent (fylgi flokka allir),Vinstri grænir,"17,7",
30-Nov-04,Capacent (fylgi flokka allir),Aðrir flokkar,"0,2",
30-Nov-04,Capacent (fylgi flokka allir),Björt framtíð,0,
30-Nov-04,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
30-Nov-04,Capacent (fylgi flokka allir),Dögun,,
30-Nov-04,Capacent (fylgi flokka allir),Framsóknarflokkur,"11,3",
30-Nov-04,Capacent (fylgi flokka allir),Frjálslyndir,"4,1",
30-Nov-04,Capacent (fylgi flokka allir),Hægri grænir,,
30-Nov-04,Capacent (fylgi flokka allir),Hreyfingin,0,
30-Nov-04,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
30-Nov-04,Capacent (fylgi flokka allir),Píratar,,
30-Nov-04,Capacent (fylgi flokka allir),Samfylkingin,"31,2",
30-Nov-04,Capacent (fylgi flokka allir),Samstaða,0,
30-Nov-04,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,"34,8",
30-Nov-04,Capacent (fylgi flokka allir),Vinstri grænir,"18,4",
31-Dec-04,Capacent (fylgi flokka allir),Aðrir flokkar,"0,3",
31-Dec-04,Capacent (fylgi flokka allir),Björt framtíð,0,
31-Dec-04,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
31-Dec-04,Capacent (fylgi flokka allir),Dögun,,
31-Dec-04,Capacent (fylgi flokka allir),Framsóknarflokkur,"12,1",
31-Dec-04,Capacent (fylgi flokka allir),Frjálslyndir,"3,6",
31-Dec-04,Capacent (fylgi flokka allir),Hægri grænir,,
31-Dec-04,Capacent (fylgi flokka allir),Hreyfingin,0,
31-Dec-04,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
31-Dec-04,Capacent (fylgi flokka allir),Píratar,,
31-Dec-04,Capacent (fylgi flokka allir),Samfylkingin,"30,2",
31-Dec-04,Capacent (fylgi flokka allir),Samstaða,0,
31-Dec-04,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,"34,6",
31-Dec-04,Capacent (fylgi flokka allir),Vinstri grænir,"19,3",
31-Jan-05,Capacent (fylgi flokka allir),Aðrir flokkar,"0,1",
31-Jan-05,Capacent (fylgi flokka allir),Björt framtíð,0,
31-Jan-05,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
31-Jan-05,Capacent (fylgi flokka allir),Dögun,,
31-Jan-05,Capacent (fylgi flokka allir),Framsóknarflokkur,"12,4",
31-Jan-05,Capacent (fylgi flokka allir),Frjálslyndir,"4,1",
31-Jan-05,Capacent (fylgi flokka allir),Hægri grænir,,
31-Jan-05,Capacent (fylgi flokka allir),Hreyfingin,0,
31-Jan-05,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
31-Jan-05,Capacent (fylgi flokka allir),Píratar,,
31-Jan-05,Capacent (fylgi flokka allir),Samfylkingin,34,
31-Jan-05,Capacent (fylgi flokka allir),Samstaða,0,
31-Jan-05,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,"33,3",
31-Jan-05,Capacent (fylgi flokka allir),Vinstri grænir,"16,1",
28-Feb-05,Capacent (fylgi flokka allir),Aðrir flokkar,0,
28-Feb-05,Capacent (fylgi flokka allir),Björt framtíð,0,
28-Feb-05,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
28-Feb-05,Capacent (fylgi flokka allir),Dögun,,
28-Feb-05,Capacent (fylgi flokka allir),Framsóknarflokkur,"10,2",
28-Feb-05,Capacent (fylgi flokka allir),Frjálslyndir,"4,1",
28-Feb-05,Capacent (fylgi flokka allir),Hægri grænir,,
28-Feb-05,Capacent (fylgi flokka allir),Hreyfingin,0,
28-Feb-05,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
28-Feb-05,Capacent (fylgi flokka allir),Píratar,,
28-Feb-05,Capacent (fylgi flokka allir),Samfylkingin,"32,5",
28-Feb-05,Capacent (fylgi flokka allir),Samstaða,0,
28-Feb-05,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,"37,4",
28-Feb-05,Capacent (fylgi flokka allir),Vinstri grænir,"15,8",
31-Mar-05,Capacent (fylgi flokka allir),Aðrir flokkar,"0,1",
31-Mar-05,Capacent (fylgi flokka allir),Björt framtíð,0,
31-Mar-05,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
31-Mar-05,Capacent (fylgi flokka allir),Dögun,,
31-Mar-05,Capacent (fylgi flokka allir),Framsóknarflokkur,"11,5",
31-Mar-05,Capacent (fylgi flokka allir),Frjálslyndir,6,
31-Mar-05,Capacent (fylgi flokka allir),Hægri grænir,,
31-Mar-05,Capacent (fylgi flokka allir),Hreyfingin,0,
31-Mar-05,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
31-Mar-05,Capacent (fylgi flokka allir),Píratar,,
31-Mar-05,Capacent (fylgi flokka allir),Samfylkingin,"28,7",
31-Mar-05,Capacent (fylgi flokka allir),Samstaða,0,
31-Mar-05,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,38,
31-Mar-05,Capacent (fylgi flokka allir),Vinstri grænir,"15,4",
30-Apr-05,Capacent (fylgi flokka allir),Aðrir flokkar,0,
30-Apr-05,Capacent (fylgi flokka allir),Björt framtíð,0,
30-Apr-05,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
30-Apr-05,Capacent (fylgi flokka allir),Dögun,,
30-Apr-05,Capacent (fylgi flokka allir),Framsóknarflokkur,10,
30-Apr-05,Capacent (fylgi flokka allir),Frjálslyndir,"6,1",
30-Apr-05,Capacent (fylgi flokka allir),Hægri grænir,,
30-Apr-05,Capacent (fylgi flokka allir),Hreyfingin,0,
30-Apr-05,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
30-Apr-05,Capacent (fylgi flokka allir),Píratar,,
30-Apr-05,Capacent (fylgi flokka allir),Samfylkingin,"31,6",
30-Apr-05,Capacent (fylgi flokka allir),Samstaða,0,
30-Apr-05,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,"36,7",
30-Apr-05,Capacent (fylgi flokka allir),Vinstri grænir,"15,5",
31-May-05,Capacent (fylgi flokka allir),Aðrir flokkar,0,
31-May-05,Capacent (fylgi flokka allir),Björt framtíð,0,
31-May-05,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
31-May-05,Capacent (fylgi flokka allir),Dögun,,
31-May-05,Capacent (fylgi flokka allir),Framsóknarflokkur,"8,5",
31-May-05,Capacent (fylgi flokka allir),Frjálslyndir,"4,6",
31-May-05,Capacent (fylgi flokka allir),Hægri grænir,,
31-May-05,Capacent (fylgi flokka allir),Hreyfingin,0,
31-May-05,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
31-May-05,Capacent (fylgi flokka allir),Píratar,,
31-May-05,Capacent (fylgi flokka allir),Samfylkingin,"33,9",
31-May-05,Capacent (fylgi flokka allir),Samstaða,0,
31-May-05,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,"37,6",
31-May-05,Capacent (fylgi flokka allir),Vinstri grænir,"15,2",
30-Jun-05,Capacent (fylgi flokka allir),Aðrir flokkar,0,
30-Jun-05,Capacent (fylgi flokka allir),Björt framtíð,0,
30-Jun-05,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
30-Jun-05,Capacent (fylgi flokka allir),Dögun,,
30-Jun-05,Capacent (fylgi flokka allir),Framsóknarflokkur,"8,7",
30-Jun-05,Capacent (fylgi flokka allir),Frjálslyndir,"3,9",
30-Jun-05,Capacent (fylgi flokka allir),Hægri grænir,,
30-Jun-05,Capacent (fylgi flokka allir),Hreyfingin,0,
30-Jun-05,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
30-Jun-05,Capacent (fylgi flokka allir),Píratar,,
30-Jun-05,Capacent (fylgi flokka allir),Samfylkingin,"33,3",
30-Jun-05,Capacent (fylgi flokka allir),Samstaða,0,
30-Jun-05,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,"37,8",
30-Jun-05,Capacent (fylgi flokka allir),Vinstri grænir,"15,9",
31-Jul-05,Capacent (fylgi flokka allir),Aðrir flokkar,0,
31-Jul-05,Capacent (fylgi flokka allir),Björt framtíð,0,
31-Jul-05,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
31-Jul-05,Capacent (fylgi flokka allir),Dögun,,
31-Jul-05,Capacent (fylgi flokka allir),Framsóknarflokkur,"8,9",
31-Jul-05,Capacent (fylgi flokka allir),Frjálslyndir,"4,7",
31-Jul-05,Capacent (fylgi flokka allir),Hægri grænir,,
31-Jul-05,Capacent (fylgi flokka allir),Hreyfingin,0,
31-Jul-05,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
31-Jul-05,Capacent (fylgi flokka allir),Píratar,,
31-Jul-05,Capacent (fylgi flokka allir),Samfylkingin,"32,2",
31-Jul-05,Capacent (fylgi flokka allir),Samstaða,0,
31-Jul-05,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,"37,9",
31-Jul-05,Capacent (fylgi flokka allir),Vinstri grænir,"16,1",
31-Aug-05,Capacent (fylgi flokka allir),Aðrir flokkar,0,
31-Aug-05,Capacent (fylgi flokka allir),Björt framtíð,0,
31-Aug-05,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
31-Aug-05,Capacent (fylgi flokka allir),Dögun,,
31-Aug-05,Capacent (fylgi flokka allir),Framsóknarflokkur,"10,5",
31-Aug-05,Capacent (fylgi flokka allir),Frjálslyndir,"4,3",
31-Aug-05,Capacent (fylgi flokka allir),Hægri grænir,,
31-Aug-05,Capacent (fylgi flokka allir),Hreyfingin,0,
31-Aug-05,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
31-Aug-05,Capacent (fylgi flokka allir),Píratar,,
31-Aug-05,Capacent (fylgi flokka allir),Samfylkingin,"29,6",
31-Aug-05,Capacent (fylgi flokka allir),Samstaða,0,
31-Aug-05,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,"36,4",
31-Aug-05,Capacent (fylgi flokka allir),Vinstri grænir,19,
30-Sep-05,Capacent (fylgi flokka allir),Aðrir flokkar,0,
30-Sep-05,Capacent (fylgi flokka allir),Björt framtíð,0,
30-Sep-05,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
30-Sep-05,Capacent (fylgi flokka allir),Dögun,,
30-Sep-05,Capacent (fylgi flokka allir),Framsóknarflokkur,"9,4",
30-Sep-05,Capacent (fylgi flokka allir),Frjálslyndir,"3,5",
30-Sep-05,Capacent (fylgi flokka allir),Hægri grænir,,
30-Sep-05,Capacent (fylgi flokka allir),Hreyfingin,0,
30-Sep-05,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
30-Sep-05,Capacent (fylgi flokka allir),Píratar,,
30-Sep-05,Capacent (fylgi flokka allir),Samfylkingin,"28,7",
30-Sep-05,Capacent (fylgi flokka allir),Samstaða,0,
30-Sep-05,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,"44,1",
30-Sep-05,Capacent (fylgi flokka allir),Vinstri grænir,"14,4",
31-Oct-05,Capacent (fylgi flokka allir),Aðrir flokkar,0,
31-Oct-05,Capacent (fylgi flokka allir),Björt framtíð,0,
31-Oct-05,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
31-Oct-05,Capacent (fylgi flokka allir),Dögun,,
31-Oct-05,Capacent (fylgi flokka allir),Framsóknarflokkur,"10,1",
31-Oct-05,Capacent (fylgi flokka allir),Frjálslyndir,"3,8",
31-Oct-05,Capacent (fylgi flokka allir),Hægri grænir,,
31-Oct-05,Capacent (fylgi flokka allir),Hreyfingin,0,
31-Oct-05,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
31-Oct-05,Capacent (fylgi flokka allir),Píratar,,
31-Oct-05,Capacent (fylgi flokka allir),Samfylkingin,"27,8",
31-Oct-05,Capacent (fylgi flokka allir),Samstaða,0,
31-Oct-05,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,"41,5",
31-Oct-05,Capacent (fylgi flokka allir),Vinstri grænir,"16,8",
30-Nov-05,Capacent (fylgi flokka allir),Aðrir flokkar,0,
30-Nov-05,Capacent (fylgi flokka allir),Björt framtíð,0,
30-Nov-05,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
30-Nov-05,Capacent (fylgi flokka allir),Dögun,,
30-Nov-05,Capacent (fylgi flokka allir),Framsóknarflokkur,"10,7",
30-Nov-05,Capacent (fylgi flokka allir),Frjálslyndir,"3,5",
30-Nov-05,Capacent (fylgi flokka allir),Hægri grænir,,
30-Nov-05,Capacent (fylgi flokka allir),Hreyfingin,0,
30-Nov-05,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
30-Nov-05,Capacent (fylgi flokka allir),Píratar,,
30-Nov-05,Capacent (fylgi flokka allir),Samfylkingin,"25,5",
30-Nov-05,Capacent (fylgi flokka allir),Samstaða,0,
30-Nov-05,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,"42,7",
30-Nov-05,Capacent (fylgi flokka allir),Vinstri grænir,"17,6",
31-Dec-05,Capacent (fylgi flokka allir),Aðrir flokkar,0,
31-Dec-05,Capacent (fylgi flokka allir),Björt framtíð,0,
31-Dec-05,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
31-Dec-05,Capacent (fylgi flokka allir),Dögun,,
31-Dec-05,Capacent (fylgi flokka allir),Framsóknarflokkur,"10,6",
31-Dec-05,Capacent (fylgi flokka allir),Frjálslyndir,"2,3",
31-Dec-05,Capacent (fylgi flokka allir),Hægri grænir,,
31-Dec-05,Capacent (fylgi flokka allir),Hreyfingin,0,
31-Dec-05,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
31-Dec-05,Capacent (fylgi flokka allir),Píratar,,
31-Dec-05,Capacent (fylgi flokka allir),Samfylkingin,"27,4",
31-Dec-05,Capacent (fylgi flokka allir),Samstaða,0,
31-Dec-05,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,"41,6",
31-Dec-05,Capacent (fylgi flokka allir),Vinstri grænir,"17,8",
31-Jan-06,Capacent (fylgi flokka allir),Aðrir flokkar,0,
31-Jan-06,Capacent (fylgi flokka allir),Björt framtíð,0,
31-Jan-06,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
31-Jan-06,Capacent (fylgi flokka allir),Dögun,,
31-Jan-06,Capacent (fylgi flokka allir),Framsóknarflokkur,"10,5",
31-Jan-06,Capacent (fylgi flokka allir),Frjálslyndir,"2,1",
31-Jan-06,Capacent (fylgi flokka allir),Hægri grænir,,
31-Jan-06,Capacent (fylgi flokka allir),Hreyfingin,0,
31-Jan-06,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
31-Jan-06,Capacent (fylgi flokka allir),Píratar,,
31-Jan-06,Capacent (fylgi flokka allir),Samfylkingin,27,
31-Jan-06,Capacent (fylgi flokka allir),Samstaða,0,
31-Jan-06,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,"42,6",
31-Jan-06,Capacent (fylgi flokka allir),Vinstri grænir,"17,6",
28-Feb-06,Capacent (fylgi flokka allir),Aðrir flokkar,0,
28-Feb-06,Capacent (fylgi flokka allir),Björt framtíð,0,
28-Feb-06,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
28-Feb-06,Capacent (fylgi flokka allir),Dögun,,
28-Feb-06,Capacent (fylgi flokka allir),Framsóknarflokkur,"9,5",
28-Feb-06,Capacent (fylgi flokka allir),Frjálslyndir,"3,1",
28-Feb-06,Capacent (fylgi flokka allir),Hægri grænir,,
28-Feb-06,Capacent (fylgi flokka allir),Hreyfingin,0,
28-Feb-06,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
28-Feb-06,Capacent (fylgi flokka allir),Píratar,,
28-Feb-06,Capacent (fylgi flokka allir),Samfylkingin,"29,3",
28-Feb-06,Capacent (fylgi flokka allir),Samstaða,0,
28-Feb-06,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,"41,7",
28-Feb-06,Capacent (fylgi flokka allir),Vinstri grænir,"15,9",
31-Mar-06,Capacent (fylgi flokka allir),Aðrir flokkar,"0,1",
31-Mar-06,Capacent (fylgi flokka allir),Björt framtíð,0,
31-Mar-06,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
31-Mar-06,Capacent (fylgi flokka allir),Dögun,,
31-Mar-06,Capacent (fylgi flokka allir),Framsóknarflokkur,"8,9",
31-Mar-06,Capacent (fylgi flokka allir),Frjálslyndir,3,
31-Mar-06,Capacent (fylgi flokka allir),Hægri grænir,,
31-Mar-06,Capacent (fylgi flokka allir),Hreyfingin,0,
31-Mar-06,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
31-Mar-06,Capacent (fylgi flokka allir),Píratar,,
31-Mar-06,Capacent (fylgi flokka allir),Samfylkingin,"31,4",
31-Mar-06,Capacent (fylgi flokka allir),Samstaða,0,
31-Mar-06,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,"40,2",
31-Mar-06,Capacent (fylgi flokka allir),Vinstri grænir,"16,1",
30-Apr-06,Capacent (fylgi flokka allir),Aðrir flokkar,0,
30-Apr-06,Capacent (fylgi flokka allir),Björt framtíð,0,
30-Apr-06,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
30-Apr-06,Capacent (fylgi flokka allir),Dögun,,
30-Apr-06,Capacent (fylgi flokka allir),Framsóknarflokkur,"9,3",
30-Apr-06,Capacent (fylgi flokka allir),Frjálslyndir,"3,2",
30-Apr-06,Capacent (fylgi flokka allir),Hægri grænir,,
30-Apr-06,Capacent (fylgi flokka allir),Hreyfingin,0,
30-Apr-06,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
30-Apr-06,Capacent (fylgi flokka allir),Píratar,,
30-Apr-06,Capacent (fylgi flokka allir),Samfylkingin,"29,8",
30-Apr-06,Capacent (fylgi flokka allir),Samstaða,0,
30-Apr-06,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,"39,4",
30-Apr-06,Capacent (fylgi flokka allir),Vinstri grænir,18,
31-May-06,Capacent (fylgi flokka allir),Aðrir flokkar,"0,6",
31-May-06,Capacent (fylgi flokka allir),Björt framtíð,0,
31-May-06,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
31-May-06,Capacent (fylgi flokka allir),Dögun,,
31-May-06,Capacent (fylgi flokka allir),Framsóknarflokkur,"9,8",
31-May-06,Capacent (fylgi flokka allir),Frjálslyndir,"3,9",
31-May-06,Capacent (fylgi flokka allir),Hægri grænir,,
31-May-06,Capacent (fylgi flokka allir),Hreyfingin,0,
31-May-06,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
31-May-06,Capacent (fylgi flokka allir),Píratar,,
31-May-06,Capacent (fylgi flokka allir),Samfylkingin,"29,2",
31-May-06,Capacent (fylgi flokka allir),Samstaða,0,
31-May-06,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,"39,6",
31-May-06,Capacent (fylgi flokka allir),Vinstri grænir,"16,9",
30-Jun-06,Capacent (fylgi flokka allir),Aðrir flokkar,0,
30-Jun-06,Capacent (fylgi flokka allir),Björt framtíð,0,
30-Jun-06,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
30-Jun-06,Capacent (fylgi flokka allir),Dögun,,
30-Jun-06,Capacent (fylgi flokka allir),Framsóknarflokkur,9,
30-Jun-06,Capacent (fylgi flokka allir),Frjálslyndir,"3,9",
30-Jun-06,Capacent (fylgi flokka allir),Hægri grænir,,
30-Jun-06,Capacent (fylgi flokka allir),Hreyfingin,0,
30-Jun-06,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
30-Jun-06,Capacent (fylgi flokka allir),Píratar,,
30-Jun-06,Capacent (fylgi flokka allir),Samfylkingin,25,
30-Jun-06,Capacent (fylgi flokka allir),Samstaða,0,
30-Jun-06,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,"42,6",
30-Jun-06,Capacent (fylgi flokka allir),Vinstri grænir,"19,4",
31-Jul-06,Capacent (fylgi flokka allir),Aðrir flokkar,0,
31-Jul-06,Capacent (fylgi flokka allir),Björt framtíð,0,
31-Jul-06,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
31-Jul-06,Capacent (fylgi flokka allir),Dögun,,
31-Jul-06,Capacent (fylgi flokka allir),Framsóknarflokkur,"9,6",
31-Jul-06,Capacent (fylgi flokka allir),Frjálslyndir,"3,6",
31-Jul-06,Capacent (fylgi flokka allir),Hægri grænir,,
31-Jul-06,Capacent (fylgi flokka allir),Hreyfingin,0,
31-Jul-06,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
31-Jul-06,Capacent (fylgi flokka allir),Píratar,,
31-Jul-06,Capacent (fylgi flokka allir),Samfylkingin,"24,6",
31-Jul-06,Capacent (fylgi flokka allir),Samstaða,0,
31-Jul-06,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,"42,6",
31-Jul-06,Capacent (fylgi flokka allir),Vinstri grænir,"19,7",
31-Aug-06,Capacent (fylgi flokka allir),Aðrir flokkar,0,
31-Aug-06,Capacent (fylgi flokka allir),Björt framtíð,0,
31-Aug-06,Capacent (fylgi flokka allir),Borgarahreyfingin,0,
31-Aug-06,Capacent (fylgi flokka allir),Dögun,,
31-Aug-06,Capacent (fylgi flokka allir),Framsóknarflokkur,"9,1",
31-Aug-06,Capacent (fylgi flokka allir),Frjálslyndir,"2,9",
31-Aug-06,Capacent (fylgi flokka allir),Hægri grænir,,
31-Aug-06,Capacent (fylgi flokka allir),Hreyfingin,0,
31-Aug-06,Capacent (fylgi flokka allir),Lýðræðisvaktin,,
31-Aug-06,Capacent (fylgi flokka allir),Píratar,,
31-Aug-06,Capacent (fylgi flokka allir),Samfylkingin,"25,2",
31-Aug-06,Capacent (fylgi flokka allir),Samstaða,0,
31-Aug-06,Capacent (fylgi flokka allir),Sjálfstæðisflokkur,"40,8",
31-Aug-06,Capacent (fylgi flokka allir),Vinstri grænir,"21,5",
30-Sep-06,Capacent (fylgi flokka allir),Aðrir flokkar,0,
